ID;menmonico;Nome;Prazo;Sinonímia;Coleta;Material;Metodologia;coleta2;encaminhamento;finalidade do exame;interferente;paciente;instruções Material Coleta;instruções Paciente;instruções Coleta;Instruções Encaminhamento
3792;CBK;CULTURA PARA BK;45 dias úteis;Cultura para Mycobacterium tuberculosis, Cultura para BAAR, Cultura para bacilos alcool-ácido resistentes;COLETA80, Volume26;Diversos materiais;Automatizado / Específico;"- (CBK)COLETA:Cultura realizada em diversos materiais biologicos, mais comumente solicitado no escarro ou na urina. Para esses, o paciente dever retirar o(s) frasco(s) no laboratório.Escarro: preferencialmente pela manhã, em jejum, após higiene bucal com água, coletar expectoração profunda.Urina: primeira da manhã, toda micção.Liquidos cavitários, lavados e líquor: procedimento médico.REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão. - (CBK)VOLUME MÍNIMO:Líquidos: 5 a 10 ml / Não líquidos: Não aplicável. ";- (CBK)ENCAMINHAMENTO:Refrigerado 2°C - 8°C.ESTABILIDADE:Temperatura ambiente: 24 horas.Refrigerada (2°C-8°C): 4 dias.Congelada (-20°C): não se aplica.;O exame é ultil para detectar infecções pelas diferentes espécifes de micobactérias, exceto M. leprae, não apenas Mycobacterium tuberculosis. A cultura em sensibildiade maior que a coloração de Ziehl-Neelsen e é considerada o padrão ouro para detecção de infecção por estas bactérias.  A detecção de micobactéria não pertencente ao Complexo  M. tuberculosis em material do trato respiratório não deve ser utilizada como o único critério para diagnóstico de micobacteriose pulmonar. Com a cultura é possivel realizar também o teste de senibilidade aos antimicrobianos.;;- (CBK)PACIENTE:Cultura realizada em diversos materiais biologicos, mais comumente solicitado no escarro ou na urina.                                                                                                                                                                     Para esses, o paciente dever retirar o(s) frasco(s) no laboratório.Escarro: preferencialmente pela manhã, em jejum, após higiene bucal com água, coletar expectoração profunda.Urina: primeira da manhã, toda micção.Liquidos cavitários, lavados e líquor: procedimento médico. JEJUM:                                                                                                                                                                                                                                                                                                                                             Jejum desejavel de 3 horas. Para bebês ou até 2 anos: jejum de duas horas após a mamada ou logo antes da próxima mamada. Crianças acima de 2 anos: 2 a 3 horas de jejum, ou conforme orientação do profissional solicitante.;;;;
3793;CFUNGO;CULTURA DE FUNGOS;30 dias corridos;;COLETA902, VOLUME473;Diversos materiais;Automatizado / Específico;"- (CFUNGO)COLETA:
Escarro: coletar amostra em um frasco de boca larga.
Aspirado traqueal e lavado broncoalveolar: procedimento realizado por equipe médica especializada. O material obtido deve ser colocando em tubo seco esterilizado, evitando-se contaminação com o trato respiratório alto. Coletar em frasco bronquinho.
Secreção orofaringe: usando abaixador de língua e swab esterilizado, fazer esfregaços sobre as tonsilas e faringe posterior, evitando colocar na língua a mucosa bucal. Procurar o material nas áreas com hiperemia, próximas aos pontos de supuração ou remover o pus ou a placa, colhendo o material abaixo da mucosa.
Liquidos e secreções: realizar a assepsia no sítio da punção com álcool 70º. Coleta por procedimento médico, obter a amostra através da punção percutânea ou cirúrgica. Quanto maior o volume da amostra maior a probabilidade de isolamento do agente etiológico. O líquido coletado deve ser encaminhado em tubo seco estéril.
Urina: realizar assepsia local e coletar jato médio em frasco estéril.
Fezes: encaminhar em frasco estéril ou swab (AMIES/Stuart).
Fragmento ósseo e de tecido: obter amostra óssea através de cirurgia. Colocar num recipiente esterilizado contendo NaCl 0,9% esterilizado (solução fisiológica). Não usar formalina.
Raspados de pele e unha:Pele - realizar desinfecção da lesão com algodão embebido em álcool 70º para diminuir a microbiota local, aumentando a sensibilidade do exame micológico e/ou cultura de fungos. Raspar a lesão com espátula de aço. Nas lesões sugestivas de dermatofitose, a coleta deve ser feita nas bordas da lesão, já que este é o sítio ativo da infecção.
Unha - a lesão pode se localizar na região subungueal distal, proximal ou lâmina superficial da unha. Deve-se remover a presença de esmalte 3 a 4 dias antes da coleta. Na onicomicose superficial branca, raspam-se as áreas esbranquiçadas da parte superficial com o auxílio de espátula
de aço. No acometimento subungueal, deve-se raspar profundamente a área infectada desde a porção distal à
proximal. Os primeiros detritos coletados da porção distal deverão ser eliminados já que são ricos em contaminantes. As escamas obtidas da porção profunda da lesão serão usadas para o exame micológico. Quando as unhas são distróficas, pode-se auxiliar a coleta com tesouras limpas e desinfetadas para corte de unhas.
Amostras de pelo e cabelo: nas tinhas do couro cabeludo e da barba, as amostras devem incluir escamas dos pelos ou cabelos alterados. Os cabelos opacos e engrossados são facilmente arrancados, a partir das bordas das placas de alopecia com ajuda de uma pinça limpa.
REJEIÇÃO DE AMOSTRA:
Amostras encaminhadas em frascos e condições não padronizadas.- (CFUNGO)VOLUME MÍNIMO:

Líquidos: mínimo 1mL.";"- (CFUNGO)ENCAMINHAMENTO:

Raspado de pele e unha, pelo e cabelo: Temperatura ambiente.

Demais amostras: Refrigerado (2ºC - 8ºC)
ESTABILIDADE:
Raspados em frasco estéril:

Temperatura ambiente: indeterminado.
Refrigerada (2°C-8°C): não se aplica.
Congelada (-20°C): não se aplica.
Demais amostras:

Temperatura ambiente: não se aplica.
Refrigerada (2°C-8°C): 24 horas.
Congelada (-20°C): não se aplica.
";Investiga micoses, pesquisando, de forma rápida, a presença de fungos filamentosos e leveduriformes na amostra encaminhada.;;"- (CFUNGO)PACIENTE:
Não utilizar pomadas/cremes antifúngicos no local da lesão por 3-4 dias.
JEJUM:
Não se aplica.";;;;
3794;CVERC;CULTURA DE VIGILANCIA;05 dias corridos;;COLETA844, VOLUME423;Diversos materiais;Automatizado / Específico;- (CVIG)COLETA:Coleta conforme solicitação médica, em swab AMIES com ou sem carvão.REJEIÇÃO DE AMOSTRA:Amostras encaminhadas fora do padrão estabelecido.- (CVIG)VOLUME MÍNIMO:Não se aplica.;- (CVIG)ENCAMINHAMENTO:Temperatura ambiente.ESTABILIDADE:Temperatura ambiente: 24 horas.Refrigerada (2°C-8°C): não se aplica.Congelada (-20°C): não se aplica.;;;- (CVIG)PACIENTE:Exame indicado para pesquisa de microrganismos multi resistentes, para auxiliar em precaução de contato e controle de infecções hospitalares.JEJUM:Não se aplica.;;;;
3795;VIBRI;CULTURA PARA VIBRIO CHOLERAE;07 dias úteis;Colera;COLETA281;Fezes;;- (VIBRI)COLETA:Colher fezes recentes (mínimo 10 g) em conservador Cary-Blair.Retirar frasco específico no laboratório.Após coleta encaminhar imediatamente ao laboratório.REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão.;- (VIBRI)ENCAMINHAMENTO:Refrigerado 2°C - 8°C.ESTABILIDADE: Temperatura ambiente: 1 dia.Refrigerada (2°C-8°C): 1 dia.Congelada (-20°C): Não se aplica.;O Vibrio cholerae é o agente da cólera. Trata-se de um anaeróbio facultativo transmitido via fecal-oral por água e alimentos contaminados, levando à diarreia intensa, isotônica e rica em sódio. Exame laboratorial utilizado para isolamento do vibrio cholerae em pacientes doentes ou portadores assintomáticos, sendo considerado o exame “padrão-ouro”. É um exame realizado a partir de uma amostra de fezes do paciente.;;- (VIBRI)PACIENTE:Realizamos em amostra de fezes recém-emitidas.Não fazer uso de laxantes, supositórios ou contraste radiológico via oral.JEJUM:Jejum não obrigatório ou conforme orientações do profissional solicitante.;;;;
3797;HEMIC;CULTURA PARA MICOBACTERIAS [FRASCO MYCO F];47 dias úteis;Cultura para micobactérias no sangue ou medula óssea, Hemocultura automatizada para micobactérias;COLETA78;Diversos materiais;Fluorimetria Automatizada;- (HEMIC)COLETA:Coletar quantidade de amostras (pareadas ou não) conforme solicitação médica em frascos específicos MYCO/F (para sangue total) ou MYCO/F Lytic (para medula óssea).Não fazer anotações nem colar etiquetas sobre o código de barras do frasco.Não colar em hipótese alguma nenhum tipo de etiqueta no fundo do frasco.Nao coletar o exame em véspera de feriado, feriado e aos finais de semana.REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão. ;- (HEMIC)ENCAMINHAMENTO:Temperatura ambiente.ESTABILIDADE:Temperatura ambiente: 24 horas.Refrigerada (2°C-8°C): não se aplica.Congelada (-20°C): não se aplica.;O exame é util para o diagnóstico micobacteriose, principalmente em imunodeprimidos. A cultura automatizada permite a detecção das amostras positivas com maior rapidez (de 10 a 15 dias), mas o prazo final para a negatividade permanece de 48 dias. A metodologia é capaz de detectar todas as espécies de Mycobacterium, exceto M. leprae.;;- (HEMIC)PACIENTE:Informar medicação em uso.JEJUM:Jejum não obrigatório ou conforme orientações do profissional solicitante.;;;;
3798;URO;UROCULTURA;03 dias corridos;Cultura de Urina;COLETA810, VOLUME387;Urina (jato médio);Automatizado / Específico;"- (URO)COLETA:

Amostra de urina isolada ou de uma micção em frasco estéril.
Nota: CASO A COLETA SEJA REALIZADA EM FRASCO COM A ADIÇÃO DE ÁCIDO BÓRICO, COLETAR A QUANTIDADE DE URINA INDICADA PELO FABRICANTE.
REJEIÇÃO DE AMOSTRA:

Coleta em tubo ou recipiente não padronizado.
Volume insuficiente de amostra.
Acondicionamento e/ou transporte fora do padrão.- (URO)VOLUME MÍNIMO:

Adultos: 3 ml / Crianças: 1ml.
";- (URO)ENCAMINHAMENTO:Refrigerado 2°C - 8°C.ESTABILIDADE:Temperatura ambiente: não se aplica.Refrigerada (2°C-8°C): 1 dia.Congelada (-20°C): não se aplica.;A cultura de urina é utilizada juntamente ao exame simples de urina para diagnosticar uma infecção do trato urinário, permitindo a identificação do agente causador da infecção.;;- (URO)PACIENTE:Exame realizado preferencialmente no laboratório, em amostra de urina isolada. Não utilizar creme vaginal, nas 48 horas que precedem o exame. Estar a 2 horas sem urinar ou com 2 horas de retenção urinária. Crianças: não fazer uso de pomadas, cremes tópicos antes do exame. Quando da solicitacao conjunta de US, cujo preparo previo determine ingestão hídrica, chegar com pelo menos duas horas de antecedência, realizar primeiro o exame de urina e depois o preparo para US.JEJUM:Não se aplica.;;;;
3809;CAERO;CULTURA DE AEROBIOS;04 dias úteis;;COLETA847, VOLUME426;Diversos materiais;Automatizado / Específico;"- (CAERO)COLETA:
Conforme orientação médica.
REJEIÇÃO DE AMOSTRA:
Encaminhamento fora do padrão.- (CAERO)VOLUME MÍNIMO:Não se aplica volume mínimo, amostra deverá ser coleta em Swab Stuart ou swab de Amies (com ou sem carvão) ou placa semeada.";"- (CAERO)ENCAMINHAMENTO:
	
1.Aspirados, Escarro, Lavado brônquico, Ponta de cateter, Líquidos orgânicos, Fragmentos de pele e Fragmentos ósseos: Refrigerado (2º- 8ºC).

2.Swab de trato respiratório, Swab secreção ocular, Swab de secreções genitais e Placas semeadas: Temperatura ambiente.
ESTABILIDADE:
1.Aspirados, Escarro, Lavado brônquico, Ponta de cateter, Líquidos orgânicos, Fragmentos de pele e Fragmentos ósseos: 
Temperatura ambiente: não se aplica.
Refrigerada (2°C-8°C): 24 horas.
Congelada (-20°C): não se aplica.

2.Swab de trato respiratório, Swab secreção ocular, Swab de secreções genitais e Placas semeadas:
Temperatura ambiente: 24 horas.
Refrigerada (2°C-8°C): não se aplica.
Congelada (-20°C): não se aplica.";Investigação de agentes etiológicos de infecções bacterianas.;;"- (CAERO)PACIENTE:
Preparo prévio conforme amostra (secreção uretral, orofaringe, conjuntival, lesões de pele, líquidos e outros).
Secreção uretral:
Estar a pelo menos 2 horas de retenção urinária.
Não fazer uso de medicamentos tópicos (creme,
pomadas).

Secreção de lesão de pele:
Não fazer uso de medicamentos tópicos (creme,
pomadas).

Secreção do trato respiratório superior:
Jejum desejável de 4 horas (somente para evitar
vômitos);
Não fazer uso de medicação tópica (spray);
Antissepsia bucal (gargarejo com água), no
momento da coleta.

Secreção conjuntival:
Não fazer uso de medicação tópica (pomada, creme
oftálmico) e colírio na véspera do exame.

Informar medicação, em especial antimicrobianos
e antifúngicos.
JEJUM:
Somente para orofaringe: desejável cerca de 4 horas.";;;;
3810;COPRO;CULTURA DE FEZES;04 dias úteis;Coprocultura;Coleta382, Volume9;Fezes;Automatizado / Específico;"- (COPRO)COLETA:
Fezes recém-emitidas com conservante Cary Blair.
Utilize um recipiente limpo e seco.
Após evacuação, retirar o SWAB da embalagem e passar em partes do bolo fecal (de preferencia nas partes com muco, pus, ou sangue),
colocar no frasco (parte que contém o algodão com fezes dentro do meio Cary Blair), fechar e identificar.
Em caso de crianças, admite-se a coleta sobre fralda descartável, recolhendo as fezes imediatamente após a evacuação.
Atenção: evitar contaminação com urina, água e outros elementos.
***NÃO COLETAR DIRETO DO VASO SANITÁRIO OU SOBRE FOLHAS DE JORNAL, PAPEL, OUTROS**.

REJEIÇÃO DE AMOSTRA:
Coleta em tubo ou recipiente não padronizado.
Volume insuficiente de amostra.
Acondicionamento e/ou transporte fora do padrão.
- (COPRO)VOLUME MÍNIMO:1-2g se material sólido / 1 a 3ml se material líquido. ";"- (COPRO)ENCAMINHAMENTO:
Temperatura ambiente (15° a 30°C).

ESTABILIDADE:
Temperatura ambiente: 4 dias.
Refrigerada (2°C-8°C): não se aplica.
Congelada (-20°C): não se aplica.
";"A cultura de fezes é realizada para identificação de microrganismos enteropatogênicos causadores de infecções gastrointestinais, como a  gastroenterite. A infecção é caracterizada por diarréia e/ou vômitos e, em alguns casos, febre. A identificação do patógeno causador da gastroenterite pode elucidar melhor a fonte de contaminação e direcionar o tratamento da diarreia, bem como a implantação de medidas preventivas para bloquear a cadeia de transmissão de enteropatógenos.
Na cultura de fezes, habitualmente, são pesquisados os agentes microbianos mais comuns em nosso meio: Salmonella spp., Shigella spp., Escherichia coli Enteropatogênica Clássica (para crianças menores de 2 anos) e Escherichia coli Enteroinvasora.";;"- (COPRO)PACIENTE:
Retirar frasco para cultura no laboratório.
Informar medicação, em especial antimicrobianos.
JEJUM:
Não se aplica.";;;;
3811;CLEITE;CULTURA DE LEITE;03 dias úteis;;;Leite Humano;Manual;;;;;;"
Leite";"Instruções de jejum:
Não há.";"Instruções de paciente:
Não há.";"Instruções de coleta:
Leite 

Amostra: leite materno ou de outra fonte que não 
materno"
3816;CAPF;CULTURA PARA ANAEROBIOS [PUNCH DE FERIDA];05 dias úteis;;Volume27;Diversos materiais;Automatizado / Específico;"- (CAPF)VOLUME MÍNIMO:Não se aplica. ";;;;;;;;
3819;HEMO2;HEMOCULTURA [2a AMOSTRA];06 dias úteis;;COLETA758, VOLUME333;Diversos materiais;Automatizado / Específico;"- (HEMO2)COLETA:

Coletar amostras em frascos de Hemocultura.


REJEIÇÃO DE AMOSTRA:

Coleta em tubo ou recipiente não padronizado.
Volume insuficiente de amostra.
Acondicionamento e/ou transporte fora do padrão.
- (HEMO2)VOLUME MÍNIMO:

Frasco da BD:
Adulto: 8 a 10mL. 
Pediátrico: 0,5 a 5mL.
";- (HEMO2)ENCAMINHAMENTO:Temperatura ambiente.ESTABILIDADE:Temperatura ambiente: 24 horas.Refrigerada (2°C-8°C): não se aplica.Congelada (-20°C): não se aplica.;Investigação de infecção de corrente sanguínea.;;"- (HEMO2)PACIENTE:

Não coletar amostras em pico febril.
JEJUM:

Não se aplica.

";;;;
3820;HEMO3;HEMOCULTURA [3a AMOSTRA];06 dias úteis;;COLETA758, VOLUME333;Diversos materiais;Automatizado / Específico;"- (HEMO3)COLETA:

Coletar amostras em frascos de Hemocultura.


REJEIÇÃO DE AMOSTRA:

Coleta em tubo ou recipiente não padronizado.
Volume insuficiente de amostra.
Acondicionamento e/ou transporte fora do padrão.
- (HEMO3)VOLUME MÍNIMO:

Frasco da BD:
Adulto: 8 a 10mL. 
Pediátrico: 0,5 a 5mL.
";- (HEMO3)ENCAMINHAMENTO:Temperatura ambiente.ESTABILIDADE:Temperatura ambiente: 24 horas.Refrigerada (2°C-8°C): não se aplica.Congelada (-20°C): não se aplica.;Investigação de infecção de corrente sanguínea.;;"- (HEMO3)PACIENTE:

Não coletar amostras em pico febril.
JEJUM:

Não se aplica.

";;;;
3837;HEMO4;HEMOCULTURA [4a AMOSTRA];06 dias úteis;;COLETA758, VOLUME333;Diversos materiais;Automatizado / Específico;"- (HEMO4)COLETA:

Coletar amostras em frascos de Hemocultura.


REJEIÇÃO DE AMOSTRA:

Coleta em tubo ou recipiente não padronizado.
Volume insuficiente de amostra.
Acondicionamento e/ou transporte fora do padrão.
- (HEMO4)VOLUME MÍNIMO:

Frasco da BD:
Adulto: 8 a 10mL. 
Pediátrico: 0,5 a 5mL.
";- (HEMO4)ENCAMINHAMENTO:Temperatura ambiente.ESTABILIDADE:Temperatura ambiente: 24 horas.Refrigerada (2°C-8°C): não se aplica.Congelada (-20°C): não se aplica.;Investigação de infecção de corrente sanguínea.;;"- (HEMO4)PACIENTE:

Não coletar amostras em pico febril.
JEJUM:

Não se aplica.

";;;;
3839;CFUNGOSU;CULTURA DE FUNGOS - URINA;30 dias corridos;;Volume19;Urina (jato médio);Automatizado / Específico;"- (CFUNGOSU)VOLUME MÍNIMO:Adultos: 3 ml / Crianças: 1ml. ";;;;;"
Urina jato médio";"Instruções de jejum:
Não há.";"Instruções de paciente:
Exame realizado em amostra de urina.
Não utilizar medicação tópica (creme, pomada), 
nos 3 dias que antecedem o exame.
Informar medicação, em especial antifungicos.
Coleta: urina jato médio após assepsia";"Instruções de coleta:
Urina jato médio após assepsia

Coleta: urina jato médio após assepsia"
3840;MUU;MYCOPLASMA / UREAPLASMA - URINA;04 dias úteis;;COLETA783, VOLUME360;Urina;Automatizado / Específico;"- (MUU)COLETA:

Encaminhar amostras líquidas (urinárias) em frasco estéril ou 200 µL de amostra em meio R1.
Amostras coletadas em swab: colocar o swab no meio R1 e homogeneizar.
REJEIÇÃO DE AMOSTRA:

Coleta em tubo ou recipiente não padronizado.
Volume insuficiente de amostra.
Acondicionamento e/ou transporte fora do padrão.

- (MUU)VOLUME MÍNIMO:

200μL de amostra líquida.

";- (MUU)ENCAMINHAMENTO:Refrigerado 2°C - 8°C.ESTABILIDADE:Temperatura ambiente: não se aplica.Refrigerada (2°C-8°C): 24 horas.Congelada (-20°C): não se aplica.;Cultura para mycoplasma ureaplasma de amostras urogenitais. Para pesquisa de infecção urogenital pelos agentes Mycoplasma hominis e/ou Ureaplasma urealiticum.;;"- (MUU)PACIENTE:

Exame realizado em amostra de urina 1º jato.
Estar com duas horas de retenção urinária. 
Abstinência sexual nas 24 horas que precedem o 
exame.
Não utilizar antes do exame medicação tópica, se 
em uso informar. 
JEJUM:

Não se aplica.


";;;;
3848;ESPCUL;ESPERMOCULTURA;04 dias úteis;Cultura de esperma, Liquido seminal,  cultura de;COLETA67, Volume35;Esperma;Automatizado / Específico;"- (ESPCUL)COLETA:A coleta deverá ser realizada no laboratório pelo próprio paciente por meio de manipulação auto erógena e em coletor universal estéril (tampa amarela), após antissepsia (hiene local) da genitália.REJEIÇÃO DE AMOSTRA:                                                                                                                                                                                  Amostra recebida em frasco inadequado.- 0 à 999 Ano(s) - Masculino - (ESPCUL)VOLUME MÍNIMO:Todo material ejaculado, volume mínimo 1 ml. ";- (ESPCUL)ENCAMINHAMENTO:Temperatura ambiente.ESTABILIDADE:Temperatura ambiente: 3 horas.Refrigerada (2°C-8°C): 12 horas.Congelada (-20°C): não se aplica.;O exame deve ser interpretado em conjunto, verificando o microrganismo isolado, a contagem e presença de leucócitos e eritrócitos, e os dados clínicos do paciente, se disponíveis.;;- (ESPCUL)PACIENTE:Informar medicacao em uso, em especial antimicrobianos e antifungicos.Para este exame não é necessário abstinência, exceto se solicitado juntamente com o exame espermograma.Coleta exclusivamente no laboratório. JEJUM:                                                                                                                                                                                                                                                                                                                                      Nao se aplica.;;;;
3849;CDERMA;CULTURA PARA DERMATOFITOS;33 dias úteis;Pesquisa de dermatófitos, pesquisa de fungos dermatófitos;COLETA297;Diversos materiais;;- (CDERMA)COLETA:Secreção vaginal:- Utilizar um swab sem meio de transporte.Coletar material das paredes vaginais e fundo de saco. Esgotar o swab em salina estéril.- Enviar refrigerado.Pele:- Colher o máximo de fragmentos de tecido epidérmico dos bordos das lesões, com auxílio de lámina do esculpidor, previamente esterilizada.Pode ser utilizada lámina cuidadosamente, e enviada junto com o material.- Quando lesão vesiculosa colher o teto da vesícula, com auxílio de tesoura apropriada, e colher um raspado, se existir pele em descamação.- Recolher o material em uma placa de Petri.- Enviar em temperatura ambiente.Unha:- Se a unha apresentar partes frágeis, descoloridas ou distróficas, raspar esses locais com o auxílio de lixa de metal. Colher sempre o máximo possível de material.- Retirar material subungueal com auxílio de esculpidor (se necessário cortar a unha apenas para atingir o local da lesão).- Encaminhar também o fragmento de unha cortada.- Colher o máximo possível de material em placa de Petri.- Enviar em temperatura ambiente.Pêlo:- Retirar com pinça os pêlos com nódulos brancos ou negros ou fragmentados, e caso haja lesão recolher também material da borda da lesão em placa de Petri. Se houver zona de alopécia, coletar os pêlos das bordas da lesão.- Enviar em temperatura ambiente.Material de lesão genital masculina:- Colher material com a escova citobrush e colocar em um tubo contendo salina (material suficiente para turvar o meio).- Enviar material refrigerado.Secreções:- Colher com swab a secreção da região afetada e colocar em um tubo contendo salina estéril (material suficiente para turvar o meio).- Enviar material refrigerado.Outros materiais:Escarro, Lavado Brônquico e líquidos em geral.- Colher em frascos estéreis secos.- Enviar material refrigerado.Urina:- Colher jato médio, caso não haja especificação na receita, em frasco estéril sem conservador.- Enviar material refrigerado.Fragmentos de biópsias ou autópsias:- Acondicionar em frascos estéreis com solução fisológica estéril em volume suficiente para cobrir todo o fragmento.- Enviar refrigerado.REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão.;- (CDERMA)ENCAMINHAMENTO:Refrigerado 2°C - 8°C.ESTABILIDADE: Temperatura ambiente: 12 horas.Refrigerada (2°C-8°C): 72 horas.Congelada (-20°C): não se aplica.;O exame é útil no diagnóstico das infecções causadas por fungos ou leveduras, permitindo o isolamento e a identificação de agentes causadores de micoses superficiais ou sistêmicas, tais como dermatófitos, Histoplasma capsulatum, Aspergillus spp, Candida spp, Cryptococcus neoformans, Paracoccidioides brasiliensis e outros.;;- (CDERMA)PACIENTE:Exame realizado em diversos materiais: pele, pêlos, unhas, material de córnea, secreção genital, materiais do trato respiratório, urina, escarro, lavado brônquico, líquidos em geral e fragmentos de biópsias ou autópsias.De preferência, não se devem utilizar medicamentos tópicos nos três dias que antecedem o exame. Caso não possa suspender o tratamento, precisa anotar na solicitação as medicações usadas nos últimos 7 dias.No caso de uso prévio ou atual de antifúngicos, o nome do medicamento precisa ser informado. A administração de antifúngicos não impede a realização do exame, mas, em algumas situações pode interferir no resultado.Coleta de unhas: é necessário remover eventual esmalte um dia antes do exame. Além disso, as unhas não devem ser cortadas.Coleta de material vaginal: é necessário seguir os cuidados abaixo nas 48 horas anteriores ao exame, não usar creme e/ou óvulo vaginal, não utilizar ducha nem fazer lavagem interna, não realizar exame ginecológico com toque e/ou ultrassonografia transvaginal, não manter relações sexuais com ou sem uso de preservativos.O ideal e não fazer o exame durante a menstruarão.JEJUM:Não se aplica.;;;;
3850;URO1;UROCULTURA 1o JATO;05 dias corridos;;Volume19;Urina (1º jato);Automatizado / Específico;"- (URO1)VOLUME MÍNIMO:Adultos: 3 ml / Crianças: 1ml. ";;;;;"
Urina 1º jato";"Instruções de jejum:
Não há.";"Instruções de paciente:
A coleta deste exame deve ser realizada no 
laboratório.
Informar medicação, em especial antimicrobiano.
Estar a pelo menos com 2 horas de retenção 
urinária (evitar ingestão de líquidos
neste período).
Não fazer uso de creme/óvulo vaginal nas 24 
horas que antecedem o exame.

Crianças: não fazer uso de pomadas, cremes 
tópicos antes do exame.

Coleta: Urina 1º jato, após assepsia.
 
Importante: quando da solicitação conjunta de 
US, cujo preparo prévio determine ingestão 
hídrica, chegar com pelo menos duas horas de 
antecedência, realizar primeiro o exame de urina 
e depois o preparo para US.";"Instruções de coleta:
Urina 1º jato, após assepsia. 

Procedimento: POP de coleta"
3851;UROF;UROCULTURA - JATO FINAL;05 dias corridos;;Volume19;Urina Jato Final;Automatizado / Específico;"- (UROF)VOLUME MÍNIMO:Adultos: 3 ml / Crianças: 1ml. ";;;;;"
Urina jato final";"Instruções de jejum:
Não há.";"Instruções de paciente:
A coleta deste exame deve ser realizada no 
laboratório.
Informar medicação, em especial antimicrobiano.
Estar a pelo menos com 2 horas de retenção 
urinária (evitar ingestão de líquidos
neste período).
Não fazer uso de creme/óvulo vaginal nas 24 
horas que antecedem o exame.

Crianças: não fazer uso de pomadas, cremes 
tópicos antes do exame.

Coleta: Urina jato final após assepsia.

Importante: quando da solicitação conjunta de 
US, cujo preparo prévio determine ingestão 
hídrica, chegar com pelo menos duas horas de 
antecedência, realizar primeiro o exame de urina 
e depois o preparo para US.";"Instruções de coleta:
Urina jato final após assepsia.

Procedimento: POP de coleta"
3947;CAERO6;CULTURA [6 AMOSTRA];04 dias úteis;;COLETA847, VOLUME426;Diversos materiais;Automatizado / Específico;"- (CAERO6)COLETA:
Conforme orientação médica.
REJEIÇÃO DE AMOSTRA:
Encaminhamento fora do padrão.- (CAERO6)VOLUME MÍNIMO:Não se aplica volume mínimo, amostra deverá ser coleta em Swab Stuart ou swab de Amies (com ou sem carvão) ou placa semeada.";"- (CAERO6)ENCAMINHAMENTO:
	
1.Aspirados, Escarro, Lavado brônquico, Ponta de cateter, Líquidos orgânicos, Fragmentos de pele e Fragmentos ósseos: Refrigerado (2º- 8ºC).

2.Swab de trato respiratório, Swab secreção ocular, Swab de secreções genitais e Placas semeadas: Temperatura ambiente.
ESTABILIDADE:
1.Aspirados, Escarro, Lavado brônquico, Ponta de cateter, Líquidos orgânicos, Fragmentos de pele e Fragmentos ósseos: 
Temperatura ambiente: não se aplica.
Refrigerada (2°C-8°C): 24 horas.
Congelada (-20°C): não se aplica.

2.Swab de trato respiratório, Swab secreção ocular, Swab de secreções genitais e Placas semeadas:
Temperatura ambiente: 24 horas.
Refrigerada (2°C-8°C): não se aplica.
Congelada (-20°C): não se aplica.";Investigação de agentes etiológicos de infecções bacterianas.;;"- (CAERO6)PACIENTE:
Preparo prévio conforme amostra (secreção uretral, orofaringe, conjuntival, lesões de pele, líquidos e outros).
Secreção uretral:
Estar a pelo menos 2 horas de retenção urinária.
Não fazer uso de medicamentos tópicos (creme,
pomadas).

Secreção de lesão de pele:
Não fazer uso de medicamentos tópicos (creme,
pomadas).

Secreção do trato respiratório superior:
Jejum desejável de 4 horas (somente para evitar
vômitos);
Não fazer uso de medicação tópica (spray);
Antissepsia bucal (gargarejo com água), no
momento da coleta.

Secreção conjuntival:
Não fazer uso de medicação tópica (pomada, creme
oftálmico) e colírio na véspera do exame.

Informar medicação, em especial antimicrobianos
e antifúngicos.
JEJUM:
Somente para orofaringe: desejável cerca de 4 horas.";;;;
